range_start,range_end,AS_number,country_code,AS_description
111.26.176.0,111.26.241.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.26.242.0,111.26.243.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.26.244.0,111.27.26.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.27.0,111.27.65.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.66.0,111.27.67.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.68.0,111.27.75.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.76.0,111.27.184.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.185.0,111.27.198.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.199.0,111.27.200.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.201.0,111.27.201.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.202.0,111.27.249.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.27.250.0,111.27.255.255,134810,CN,CMNET-JILIN-AS-AP China Mobile Group JiLin communications corporation
111.28.0.0,111.28.10.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.28.11.0,111.28.235.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.28.236.0,111.29.8.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.29.9.0,111.29.47.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.29.48.0,111.29.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.30.0.0,111.30.127.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.30.128.0,111.30.131.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.30.132.0,111.30.134.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.30.135.0,111.30.150.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.30.151.0,111.30.167.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.30.168.0,111.30.168.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.30.169.0,111.30.187.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.30.188.0,111.30.189.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.30.190.0,111.30.191.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.30.192.0,111.30.255.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.0.0,111.31.23.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.24.0,111.31.25.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.26.0,111.31.27.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.28.0,111.31.32.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.33.0,111.31.34.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.35.0,111.31.35.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.36.0,111.31.63.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.64.0,111.31.64.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.65.0,111.31.75.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.76.0,111.31.76.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.77.0,111.31.79.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.80.0,111.31.80.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.81.0,111.31.87.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.88.0,111.31.89.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.90.0,111.31.123.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.124.0,111.31.124.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.125.0,111.31.127.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.128.0,111.31.146.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.147.0,111.31.167.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.168.0,111.31.182.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.183.0,111.31.199.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.31.200.0,111.31.203.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.31.204.0,111.32.127.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.32.128.0,111.32.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.33.0.0,111.33.28.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.29.0,111.33.75.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.76.0,111.33.110.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.111.0,111.33.125.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.126.0,111.33.142.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.143.0,111.33.159.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.160.0,111.33.167.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.168.0,111.33.170.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.171.0,111.33.188.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.33.189.0,111.33.189.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.33.190.0,111.33.255.255,38019,CN,CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited
111.34.0.0,111.34.111.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.34.112.0,111.37.10.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.37.11.0,111.37.111.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.37.112.0,111.37.143.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.37.144.0,111.37.255.255,24444,CN,CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited
111.38.0.0,111.39.85.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.39.86.0,111.39.223.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.39.224.0,111.39.226.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.39.227.0,111.39.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.40.0.0,111.40.239.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.40.240.0,111.41.41.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.42.0,111.41.128.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.129.0,111.41.132.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.133.0,111.41.155.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.156.0,111.41.165.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.166.0,111.41.168.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.169.0,111.41.172.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.173.0,111.41.175.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.176.0,111.41.191.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.192.0,111.41.228.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.229.0,111.41.239.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.41.240.0,111.42.4.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.42.5.0,111.42.120.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.42.121.0,111.42.210.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.42.211.0,111.43.1.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.43.2.0,111.43.39.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.43.40.0,111.43.122.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.43.123.0,111.43.202.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.43.203.0,111.43.222.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.43.223.0,111.43.255.255,132525,CN,CMNET-HEILONGJIANG-CN HeiLongJiang Mobile Communication Company Limited
111.44.0.0,111.44.130.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.131.0,111.44.151.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.152.0,111.44.175.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.176.0,111.44.186.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.187.0,111.44.188.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.189.0,111.44.198.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.199.0,111.44.204.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.205.0,111.44.234.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.235.0,111.44.243.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.244.0,111.44.245.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.246.0,111.44.254.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.44.255.0,111.44.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.45.0.0,111.45.31.255,56040,CN,CMNET-GUANGDONG-AP China Mobile communications corporation
111.45.32.0,111.45.35.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.45.36.0,111.45.64.255,56040,CN,CMNET-GUANGDONG-AP China Mobile communications corporation
111.45.65.0,111.45.80.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.45.81.0,111.45.127.255,56040,CN,CMNET-GUANGDONG-AP China Mobile communications corporation
111.45.128.0,111.45.147.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.148.0,111.45.155.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.156.0,111.45.163.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.164.0,111.45.171.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.172.0,111.45.179.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.180.0,111.45.187.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.188.0,111.45.195.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.196.0,111.45.207.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.208.0,111.45.219.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.220.0,111.45.227.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.228.0,111.45.235.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.236.0,111.45.243.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.244.0,111.45.251.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.45.252.0,111.45.255.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.46.0.0,111.46.132.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.133.0,111.46.135.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.136.0,111.46.163.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.164.0,111.46.191.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.192.0,111.46.215.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.216.0,111.46.219.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.220.0,111.46.232.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.233.0,111.46.244.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.245.0,111.46.247.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.46.248.0,111.47.4.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.5.0,111.47.14.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.15.0,111.47.17.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.18.0,111.47.22.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.23.0,111.47.27.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.28.0,111.47.32.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.33.0,111.47.62.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.63.0,111.47.77.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.78.0,111.47.83.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.84.0,111.47.86.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.87.0,111.47.94.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.95.0,111.47.103.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.104.0,111.47.132.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.133.0,111.47.136.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.137.0,111.47.161.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.162.0,111.47.167.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.168.0,111.47.194.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.195.0,111.47.207.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.208.0,111.47.217.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.218.0,111.47.245.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.246.0,111.47.251.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.47.252.0,111.48.39.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.40.0,111.48.51.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.52.0,111.48.86.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.87.0,111.48.120.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.121.0,111.48.166.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.167.0,111.48.170.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.171.0,111.48.178.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.179.0,111.48.188.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.189.0,111.48.215.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.216.0,111.48.249.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.48.250.0,111.49.49.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.49.50.0,111.49.95.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.49.96.0,111.49.129.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.49.130.0,111.49.159.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.49.160.0,111.49.195.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.49.196.0,111.49.231.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.49.232.0,111.50.6.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.50.7.0,111.50.48.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.50.49.0,111.51.11.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.51.12.0,111.51.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.52.0.0,111.53.67.255,56042,CN,CMNET-SHANXI-AP China Mobile communications corporation
111.53.68.0,111.53.155.255,56042,CN,CMNET-SHANXI-AP China Mobile communications corporation
111.53.156.0,111.53.220.255,56042,CN,CMNET-SHANXI-AP China Mobile communications corporation
111.53.221.0,111.53.243.255,56042,CN,CMNET-SHANXI-AP China Mobile communications corporation
111.53.244.0,111.53.255.255,56042,CN,CMNET-SHANXI-AP China Mobile communications corporation
111.54.0.0,111.55.15.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.55.16.0,111.55.17.255,24445,CN,CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd
111.55.18.0,111.55.23.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.55.24.0,111.55.26.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.55.27.0,111.55.40.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.55.41.0,111.55.47.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.55.48.0,111.55.48.255,56044,CN,CMNET-AS-LIAONING China Mobile communications corporation
111.55.49.0,111.55.62.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.55.63.0,111.55.64.255,56040,CN,CMNET-GUANGDONG-AP China Mobile communications corporation
111.55.65.0,111.55.66.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.55.67.0,111.56.12.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.56.13.0,111.56.23.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.56.24.0,111.56.31.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.56.32.0,111.56.86.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.56.87.0,111.56.88.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.56.89.0,111.57.40.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.57.41.0,111.57.233.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.57.234.0,111.58.3.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.4.0,111.58.7.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.8.0,111.58.28.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.29.0,111.58.36.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.37.0,111.58.38.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.39.0,111.58.47.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.48.0,111.58.55.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.56.0,111.58.69.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.70.0,111.58.83.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.84.0,111.58.119.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.120.0,111.58.135.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.136.0,111.58.139.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.140.0,111.58.147.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.148.0,111.58.181.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.182.0,111.58.199.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.200.0,111.58.219.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.220.0,111.58.223.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.224.0,111.58.233.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.58.234.0,111.59.13.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.14.0,111.59.28.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.29.0,111.59.30.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.31.0,111.59.32.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.33.0,111.59.41.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.42.0,111.59.45.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.46.0,111.59.69.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.70.0,111.59.77.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.78.0,111.59.88.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.89.0,111.59.91.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.92.0,111.59.106.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.107.0,111.59.109.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.110.0,111.59.125.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.126.0,111.59.129.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.130.0,111.59.147.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.148.0,111.59.171.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.172.0,111.59.183.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.184.0,111.59.199.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.200.0,111.59.204.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.205.0,111.59.224.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.225.0,111.59.227.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.59.228.0,111.60.59.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.60.60.0,111.60.76.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.60.77.0,111.60.99.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.60.100.0,111.60.131.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.60.132.0,111.60.175.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.60.176.0,111.60.255.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.61.0.0,111.61.99.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.61.100.0,111.61.199.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.61.200.0,111.62.3.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.4.0,111.62.10.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.11.0,111.62.20.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.21.0,111.62.27.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.28.0,111.62.49.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.50.0,111.62.79.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.80.0,111.62.122.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.123.0,111.62.124.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.125.0,111.62.174.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.175.0,111.62.186.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.187.0,111.62.236.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.237.0,111.62.240.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.241.0,111.62.242.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.243.0,111.62.251.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.252.0,111.62.254.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.62.255.0,111.63.79.255,24547,CN,CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited
111.63.80.0,111.63.81.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
